20:58:50 root 	 INFO 	 SwarmSailor Log Started
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QComboBox comboBox_PORT
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QComboBox comboBox_PORT
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property toolTip
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Get_GRIB
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Get_GRIB
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Send_Message
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Send_Message
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Mailbox
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Mailbox
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property sizePolicy
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property minimumSize
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property textInteractionFlags
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel data_GNSS
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel data_GNSS
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_COM_Status
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_COM_Status
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Refresh_PORT
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Refresh_PORT
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property toolTip
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Advanced
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Advanced
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property sizePolicy
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel Label_Title
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel Label_Title
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property openExternalLinks
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_Portal_HTTP
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_Portal_HTTP
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop layout QGridLayout gridLayout
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QWidget gridLayoutWidget
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <__main__.Ui object at 0x000002D798781090>
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget Ui MainWindow
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget None
20:59:04 root 	 INFO 	 Saving Settings
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 uiname is QDialog_GRIB
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 toplevel widget is QDialogGRIB
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property geometry
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property font
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property windowTitle
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QDialogGRIB QDialog_GRIB
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property geometry
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QWidget centralwidget
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property geometry
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QWidget gridLayoutWidget
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property pyuicMargins
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QGridLayout gridLayout
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_req
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_req
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property minimum
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property maximum
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QSpinBox spinBox_Long_Max
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QSpinBox spinBox_Long_Max
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property minimum
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property maximum
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QSpinBox spinBox_Long_Min
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QSpinBox spinBox_Long_Min
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_minBound
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_minBound
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D79874A3B0>
21:02:20 PyQt5.uic.properties 	 DEBUG 	 setting property text
21:02:20 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_Long
